Isradipine,Raynaud Disease
Isradipine,"Renal Failure, Progressive, With Hypertension"
Itraconazole,"Candidiasis, Familial, 1; Candf1"
Itraconazole,"Candidiasis, Familial, 2; Candf2"
Itraconazole,Leishmaniasis
Itraconazole,Onychotrichodysplasia And Neutropenia
Ketamine,Insensitivity To Pain With Hyperplastic Myelinopathy
Ketoprofen,Joint Diseases
Ketoprofen,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Ketoprofen,Osteoarthritis Susceptibility 1; Os1
Ketoprofen,Osteoarthritis Susceptibility 2; Os2
Ketoprofen,Osteoarthritis Susceptibility 3; Os3
Ketoprofen,"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando"
Ketorolac,"Ichthyosis Follicularis, Atrichia, And Photophobia Syndrome"
Ketorolac,Insensitivity To Pain With Hyperplastic Myelinopathy
Labetalol,"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
Labetalol,"Hypertension, Diastolic, Resistance To"
Labetalol,"Mitral Valve Prolapse, Familial; Mvp"
Labetalol,Pheochromocytoma
Labetalol,"Renal Failure, Progressive, With Hypertension"
L-Alanine,D-Bifunctional Protein Deficiency
Lamotrigine,"Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma"
Lamotrigine,"Convulsive Disorder, Familial, With Prenatal Or Early Onset"
Lamotrigine,"Hyperphosphatemia, Polyuria, And Seizures"
Lamotrigine,Schizophrenia; Sczd
Lansoprazole,Gastroesophageal Reflux
Lansoprazole,Helicobacter pylori
Lansoprazole,"Tremor, Nystagmus, And Duodenal Ulcer"
Lapatinib,Breast Neoplasms
Lapatinib,Mismatch Repair Cancer Syndrome
L-Arginine,D-Glyceric Acidemia
Latanoprost,"Glaucoma 1, Open Angle, A; Glc1A"
Latanoprost,"Glaucoma 1, Open Angle, C; Glc1C"
Latanoprost,"Glaucoma, Primary Open Angle; Poag"
Latanoprost,"Renal Failure, Progressive, With Hypertension"
L-Carnitine,"Carnitine Deficiency, Systemic Primary; Cdsp"
Lenalidomide,Myeloma Proteins
Letrozole,Breast Neoplasms
Leucovorin,Colorectal Neoplasms
Leucovorin,Osteosarcoma
Leucovorin,"Pronation-Supination Of The Forearm, Impairment Of"
Leuprolide,Endometriosis
Leuprolide,Leiomyoma
Leuprolide,"Polyps, Multiple And Recurrent Inflammatory Fibroid, Gastrointestinal"
Leuprolide,Prostate Cancer
Leuprolide,"Prostate Cancer, Hereditary, 1; Hpc1"
Leuprolide,Prostatic Hyperplasia
Leuprolide,"Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne"
Levamisole,Mismatch Repair Cancer Syndrome
Levetiracetam,"Convulsive Disorder, Familial, With Prenatal Or Early Onset"
Levetiracetam,"Epilepsy, Childhood Absence, Susceptibility To, 1; Eca1"
Levetiracetam,"Epilepsy, Childhood Absence, Susceptibility To, 2; Eca2"
Levetiracetam,"Epilepsy, Idiopathic Generalized, Susceptibility To, 11; Eig11"
Levetiracetam,"Epilepsy, Idiopathic Generalized, Susceptibility To, 7; Eig7"
Levetiracetam,"Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9"
Levetiracetam,"Epilepsy, Absence"
Levetiracetam,"Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And"
Levetiracetam,"Epilepsy, X-Linked, With Variable Learning Disabilities And Behavior"
Levetiracetam,"Hyperphosphatemia, Polyuria, And Seizures"
Levobunolol,Bernard-Soulier Syndrome
Levobunolol,"Glaucoma 1, Open Angle, A; Glc1A"
Levobunolol,May-Hegglin Anomaly; Mha
Levobunolol,"Renal Failure, Progressive, With Hypertension"
Levobunolol,Thrombasthenia
Levobupivacaine,Insensitivity To Pain With Hyperplastic Myelinopathy
Levodopa,"Paralysis Agitans, Juvenile, Of Hunt"
Levodopa,Restless Legs Syndrome
Levofloxacin,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Levofloxacin,Otitis Media
Levonorgestrel,Endometriosis
Levonorgestrel,Polycystic Ovary Syndrome
Levonorgestrel,Uterine Anomalies
Levothyroxine,"Goiter, Multinodular 1; Mng1"
Levothyroxine,Graves Disease
Levothyroxine,Hashimoto Thyroiditis
Levothyroxine,Myxedema
Lidocaine,Insensitivity To Pain With Hyperplastic Myelinopathy
Liothyronine,"Goiter, Multinodular 1; Mng1"
Liothyronine,Graves Disease
Liothyronine,Hashimoto Thyroiditis
Liothyronine,Myxedema
Lisdexamfetamine,"Asperger Syndrome, X-Linked, Susceptibility To, 1"
Lisdexamfetamine,Attention Deficit Disorder with Hyperactivity
Lisinopril,CADASIL
Lisinopril,"Coronary Artery Disease, Autosomal Dominant, 1; Adcad1"
Lisinopril,"Hypertension, Diastolic, Resistance To"
Lisinopril,"Hypoparathyroidism, Sensorineural Deafness, And Renal Disease"
Lisinopril,"Renal Failure, Progressive, With Hypertension"
L-Isoleucine,"Encephalopathy With Intracranial Calcification, Growth Hormone Deficiency,"
L-Isoleucine,Leigh Disease
L-Isoleucine,"Encephalopathy, Axonal, With Necrotizing Myopathy, Cardiomyopathy,"
L-Isoleucine,"Peripheral Neuropathy, Ataxia, Focal Necrotizing Encephalopathy, And"
Lithium,Schizophrenia; Sczd
Lorazepam,"Motor Neuropathy, Peripheral, With Dysautonomia"
Lorazepam,Panic Disorder 1; Pand1
Lorazepam,Torticollis
Losartan,"Hypertension, Diastolic, Resistance To"
Losartan,Essential Hypertension
Losartan,"Hypoparathyroidism, Sensorineural Deafness, And Renal Disease"
Losartan,"Renal Failure, Progressive, With Hypertension"
Lovastatin,"Coronary Artery Disease, Autosomal Dominant, 1; Adcad1"
Lovastatin,Hyperlipoproteinemia Type II
Loxapine,Schizophrenia; Sczd
Magnesium,Gastroesophageal Reflux
Magnesium,"Tremor, Nystagmus, And Duodenal Ulcer"
Magnesium Sulfate,"Convulsive Disorder, Familial, With Prenatal Or Early Onset"
Magnesium Sulfate,Dyschondrosteosis And Nephritis
Magnesium Sulfate,"Hyperphosphatemia, Polyuria, And Seizures"
Magnesium Sulfate,"Hypomagnesemia 5, Renal, With Ocular Involvement; Homg5"
Magnesium Sulfate,Preeclampsia/Eclampsia 1; Pee1
Marinol,Autoimmune Disease
Masoprocol,"Hyperostosis, Diffuse Idiopathic Skeletal"
Mecamylamine,Tourette Syndrome
Mecamylamine,"Hypertension, Diastolic, Resistance To"
Mecamylamine,Essential Hypertension
Mecamylamine,"Renal Failure, Progressive, With Hypertension"
Meclofenamic Acid,Insensitivity To Pain With Hyperplastic Myelinopathy
Medroxyprogesterone,Hajdu-Cheney Syndrome
Medroxyprogesterone,Endometriosis
Medroxyprogesterone,"Leiomyomatosis And Renal Cell Cancer, Hereditary"
Medroxyprogesterone,"Carcinoma, Renal Cell"
Medroxyprogesterone,Uterine Anomalies
Megestrol,Autoimmune Disease
Megestrol,Breast Neoplasms
Megestrol,Uterine Anomalies
Meloxicam,Joint Diseases
Meloxicam,"Exostoses With Anetodermia And Brachydactyly, Type E"
Meloxicam,Osteoarthritis Susceptibility 1; Os1
Meloxicam,Osteoarthritis Susceptibility 2; Os2
Meloxicam,Osteoarthritis Susceptibility 3; Os3
Meloxicam,"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando"
Melphalan,Myeloma Proteins
Melphalan,Neuroblastoma
Melphalan,"Rhabdomyosarcoma, Alveolar"
Memantine,"Alzheimer Disease, Familial Early-Onset, With Coexisting Amyloid And"
Memantine,Alzheimer Disease
Memantine,Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Meperidine,Insensitivity To Pain With Hyperplastic Myelinopathy
Mephenytoin,"Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality"
Meprobamate,Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Meprobamate,"Choreoathetosis/Spasticity, Episodic; Cse"
Meprobamate,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Mercaptopurine,Inflammatory Bowel Disease 1; Ibd1
Mercaptopurine,Crohn Disease
Mercaptopurine,"Anemia, Refractory, with Excess of Blasts"
Mercaptopurine,"Leukemia, Lymphocytic, Chronic, B-Cell"
Mercaptopurine,"Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall"
Mesalazine,Inflammatory Bowel Disease 1; Ibd1
Mesoridazine,Schizophrenia; Sczd
Metformin, Diabetes Mellitus 
Metformin,"Maturity-Onset Diabetes Of The Young, Type 1; Mody1"
Metformin,"Maturity-Onset Diabetes Of The Young, Type 2; Mody2"
Metformin,"Maturity-Onset Diabetes Of The Young, Type 3; Mody3"
Metformin,Polycystic Ovary Syndrome
Metformin,"Pronation-Supination Of The Forearm, Impairment Of"
Methadone,Insensitivity To Pain With Hyperplastic Myelinopathy
Methamphetamine,Attention Deficit Disorder with Hyperactivity
Methamphetamine,Choroideremia
Methamphetamine,Obesity
Methamphetamine,Prolactin Deficiency With Obesity And Enlarged Testes
Methimazole,Graves Disease
Methotrexate,"Ataxia, Early-Onset, With Oculomotor Apraxia And Hypoalbuminemia;"
Methotrexate,Urinary Bladder Neoplasms
Methotrexate,Breast Neoplasms
Methotrexate,Colorectal Neoplasms
Methotrexate,Dohle Bodies And Leukemia
Methotrexate,Esophageal Cancer
Methotrexate,Stomach Neoplasms
Methotrexate,"Growth Retardation, Small And Puffy Hands And Feet, And Eczema"
Methotrexate,Hodgkin Disease
Methotrexate,Hydatidiform Mole
Methotrexate,"Leukemia, Acute Myelocytic, With Polyposis Coli And Colon Cancer"
Methotrexate,"Leukemia, Acute Myeloid; Aml"
Methotrexate,"Anemia, Refractory, with Excess of Blasts"
Methotrexate,Lichen Sclerosus et Atrophicus
Methotrexate,"Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall"
Methotrexate,Mismatch Repair Cancer Syndrome
Methotrexate,Mycosis Fungoides
Methotrexate,Osteosarcoma
Methotrexate,"Lymphoma, Non-Hodgkin"
Methotrexate,"Rhabdomyosarcoma, Alveolar"
Methotrexate,Small Cell Lung Carcinoma
Methotrexate,Testicular Neoplasms
Methotrimeprazine,Insensitivity To Pain With Hyperplastic Myelinopathy
Methyclothiazide,Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Methyl Aminolevulinate,"Hyperostosis, Diffuse Idiopathic Skeletal"
Methyldopa,"Hypertension, Diastolic, Resistance To"
Methyldopa,"Renal Failure, Progressive, With Hypertension"
Methylergonovine,"Migraine With Or Without Aura, Susceptibility To, 1"
Methylphenidate,Attention Deficit Disorder with Hyperactivity
Methylprednisolone,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Methylprednisolone,Autoimmune Disease
Methylprednisolone,Immune Suppression; Is
Methylprednisolone,Insect Bites and Stings
Methylprednisolone,Mismatch Repair Cancer Syndrome
Methylprednisolone,Osteoarthritis Susceptibility 2; Os2
Metipranolol,"Glaucoma 1, Open Angle, A; Glc1A"
Metipranolol,"Glaucoma 1, Open Angle, C; Glc1C"
Metipranolol,"Glaucoma, Primary Open Angle; Poag"
Metoclopramide,Gastroesophageal Reflux
Metoclopramide,"Migraine With Or Without Aura, Susceptibility To, 1"
Metolazone,Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Metolazone,"Hypertension, Diastolic, Resistance To"
Metolazone,"Renal Failure, Progressive, With Hypertension"
Metoprolol,Atrial Fibrillation
Metoprolol,"Atrial Fibrillation, Familial, 3; Atfb3"
Metoprolol,"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
Metoprolol,"Hypertension, Diastolic, Resistance To"
Metoprolol,"Mitral Valve Prolapse, Familial; Mvp"
Metoprolol,"Renal Failure, Progressive, With Hypertension"
Metoprolol,"Tremor, Hereditary Essential, 1; Etm1"
Metyrosine,Pheochromocytoma
Mexiletine,"Arrhythmias, Cardiac"
Miconazole,"Candidiasis, Familial, 1; Candf1"
Miconazole,"Candidiasis, Familial, 2; Candf2"
Midodrine,"Mitral Valve Prolapse, Familial; Mvp"
Midodrine,"Motor Neuropathy, Peripheral, With Dysautonomia"
Midodrine,Multiple System Atrophy
Miglitol, Diabetes Mellitus 
Miglitol,"Maturity-Onset Diabetes Of The Young, Type 1; Mody1"
Miglitol,"Maturity-Onset Diabetes Of The Young, Type 2; Mody2"
Miglitol,"Maturity-Onset Diabetes Of The Young, Type 3; Mody3"
Miglustat,Gaucher Disease
Minocycline,"Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne"
Minoxidil,"Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality"
Minoxidil,"Hypertension, Diastolic, Resistance To"
Minoxidil,"Renal Failure, Progressive, With Hypertension"
Misoprostol,Osteoarthritis Susceptibility 2; Os2
Misoprostol,"Tremor, Nystagmus, And Duodenal Ulcer"
Mitomycin,Urinary Bladder Neoplasms
Mitomycin,Stomach Neoplasms
Mitoxantrone,Hodgkin Disease
Mitoxantrone,Insensitivity To Pain With Hyperplastic Myelinopathy
Mitoxantrone,"Leukemia, Acute Myeloid; Aml"
Mitoxantrone,"Anemia, Refractory, with Excess of Blasts"
Mitoxantrone,"Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall"
Mitoxantrone,Multiple Sclerosis
Mitoxantrone,Prostate Cancer
Mitoxantrone,"Lymphoma, Non-Hodgkin"
Modafinil,"Sleep Apnea, Obstructive"
Modafinil,Attention Deficit Disorder with Hyperactivity
Modafinil,Flushing Of Ears And Somnolence
Modafinil,Multiple Sclerosis
Moexipril,"Hypertension, Diastolic, Resistance To"
Moexipril,"Hypoparathyroidism, Sensorineural Deafness, And Renal Disease"
Moexipril,"Renal Failure, Progressive, With Hypertension"
Mometasone,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Mometasone,Asthma
Mometasone,"Growth Retardation, Small And Puffy Hands And Feet, And Eczema"
Montelukast,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Montelukast,Asthma
Montelukast,"Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification"
Morphine,Insensitivity To Pain With Hyperplastic Myelinopathy
Moxifloxacin,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Nabumetone,Insensitivity To Pain With Hyperplastic Myelinopathy
Nabumetone,Osteoarthritis Susceptibility 2; Os2
Nadolol,"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
Nadolol,"Hypertension, Diastolic, Resistance To"
Nadolol,"Mitral Valve Prolapse, Familial; Mvp"
Nadolol,"Renal Failure, Progressive, With Hypertension"
Nadolol,"Tremor, Hereditary Essential, 1; Etm1"
Nadolol,"Tremor, Nystagmus, And Duodenal Ulcer"
Nalbuphine,Insensitivity To Pain With Hyperplastic Myelinopathy
Naltrexone,Alcohol Dependence
Naproxen,Joint Diseases
Naproxen,Exostoses Of Heel
Naproxen,"Exostoses With Anetodermia And Brachydactyly, Type E"
Naproxen,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Naproxen,Insensitivity To Pain With Hyperplastic Myelinopathy
Naproxen,Legg-Calve-Perthes Disease
Naproxen,"Migraine With Or Without Aura, Susceptibility To, 1"
Naproxen,"Motor Neuropathy, Peripheral, With Dysautonomia"
Naproxen,Osteoarthritis Susceptibility 1; Os1
Naproxen,Osteoarthritis Susceptibility 2; Os2
Naproxen,Osteoarthritis Susceptibility 3; Os3
Naproxen,"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando"
Naratriptan,"Migraine With Or Without Aura, Susceptibility To, 1"
Nateglinide, Diabetes Mellitus 
Nateglinide,"Maturity-Onset Diabetes Of The Young, Type 1; Mody1"
Nateglinide,"Maturity-Onset Diabetes Of The Young, Type 2; Mody2"
Nateglinide,"Maturity-Onset Diabetes Of The Young, Type 3; Mody3"
Nebivolol,"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
Nebivolol,"Hypertension, Diastolic, Resistance To"
Nebivolol,"Mitral Valve Prolapse, Familial; Mvp"
Nebivolol,"Renal Failure, Progressive, With Hypertension"
Nedocromil,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Nedocromil,Asthma
Neostigmine,Myasthenia Gravis
Neostigmine,"Tooth, Supernumerary"
Niacin,Hyperlipoproteinemia Type II
Niacin,Hyperlipoproteinemia Type V
Nicardipine,"Hypertension, Diastolic, Resistance To"
Nicardipine,"Renal Failure, Progressive, With Hypertension"
Nifedipine,"Hypertension, Diastolic, Resistance To"
Nifedipine,Raynaud Disease
Nifedipine,"Renal Failure, Progressive, With Hypertension"
Nimodipine,CADASIL
Nimodipine,"Stroke, Ischemic"
Nisoldipine,"Hypertension, Diastolic, Resistance To"
Nisoldipine,Raynaud Disease
Nisoldipine,"Renal Failure, Progressive, With Hypertension"
Nitroglycerin,Preeclampsia/Eclampsia 1; Pee1
Nitroglycerin,Raynaud Disease
Nitroprusside,"Hypertension, Diastolic, Resistance To"
Nitroprusside,"Renal Failure, Progressive, With Hypertension"
Nizatidine,Gastroesophageal Reflux
Nizatidine,Helicobacter pylori
Nizatidine,"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
Nizatidine,"Tremor, Nystagmus, And Duodenal Ulcer"
Norepinephrine,Multiple System Atrophy
Norethindrone,Hajdu-Cheney Syndrome
Norethindrone,"Chorioretinal Dystrophy, Spinocerebellar Ataxia, And Hypogonadotropic"
Norethindrone,Endometriosis
Norethindrone,Polycystic Ovary Syndrome
Norethindrone,"Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne"
Norethindrone,Uterine Anomalies
Norgestimate,Endometriosis
Norgestimate,"Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne"
Norgestimate,Uterine Anomalies
Nortriptyline,Attention Deficit Disorder with Hyperactivity
Nortriptyline,"Enuresis, Nocturnal"
Nortriptyline,"Enuresis, Nocturnal, 2; Enur2"
Nortriptyline,Insensitivity To Pain With Hyperplastic Myelinopathy
Nortriptyline,"Motor Neuropathy, Peripheral, With Dysautonomia"
Nortriptyline,Panic Disorder 1; Pand1
Octreotide,Diabetes Mellitus
Ofloxacin,Helicobacter pylori
Ofloxacin,Otitis Media
Olanzapine,"Asperger Syndrome, X-Linked, Susceptibility To, 1"
Olanzapine,Obsessive-Compulsive Disorder
Olanzapine,Schizophrenia; Sczd
Olmesartan,"Hypertension, Diastolic, Resistance To"
Olmesartan,"Renal Failure, Progressive, With Hypertension"
Omeprazole,Gastroesophageal Reflux
Omeprazole,Helicobacter pylori
Omeprazole,"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
Omeprazole,"Tremor, Nystagmus, And Duodenal Ulcer"
Ondansetron,Alcohol Dependence
Ondansetron,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Ondansetron,Obsessive-Compulsive Disorder
Orciprenaline,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Orciprenaline,Asthma
Orciprenaline,"Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification"
Orlistat,Choroideremia
Orlistat,Obesity
Orlistat,Prolactin Deficiency With Obesity And Enlarged Testes
Orphenadrine,Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Orphenadrine,Insensitivity To Pain With Hyperplastic Myelinopathy
Orphenadrine,"Migraine With Or Without Aura, Susceptibility To, 1"
Orphenadrine,Myositis
Oxaprozin,Joint Diseases
Oxaprozin,Osteoarthritis Susceptibility 1; Os1
Oxaprozin,Osteoarthritis Susceptibility 2; Os2
Oxaprozin,Osteoarthritis Susceptibility 3; Os3
Oxaprozin,"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando"
Oxcarbazepine,Ataxia With Myoclonic Epilepsy And Presenile Dementia
Oxcarbazepine,"Convulsive Disorder, Familial, With Prenatal Or Early Onset"
Oxcarbazepine,"Epilepsy, Childhood Absence, Susceptibility To, 1; Eca1"
Oxcarbazepine,"Epilepsy, Childhood Absence, Susceptibility To, 2; Eca2"
Oxcarbazepine,"Epilepsy, Idiopathic Generalized, Susceptibility To, 11; Eig11"
Oxcarbazepine,"Epilepsy, Idiopathic Generalized, Susceptibility To, 7; Eig7"
Oxcarbazepine,"Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9"
Oxcarbazepine,"Epilepsy, Absence"
Oxcarbazepine,"Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And"
Oxcarbazepine,"Epilepsy, X-Linked, With Variable Learning Disabilities And Behavior"
Oxcarbazepine,Retinal Degeneration And Epilepsy
Oxybutynin,Hyperhidrosis Palmaris Et Plantaris
Oxycodone,Insensitivity To Pain With Hyperplastic Myelinopathy
Oxymorphone,Insensitivity To Pain With Hyperplastic Myelinopathy
Paclitaxel,Breast Neoplasms
Paclitaxel,"Sarcoma, Kaposi"
Paclitaxel,Wilms Tumor 
Paliperidone,Schizophrenia; Sczd
Palmitic Acid,"Hypercarotenemia And Vitamin A Deficiency, Autosomal Dominant"
Palmitic Acid,"Hypercarotenemia And Vitamin A Deficiency, Autosomal Recessive"
Pamidronate,Acro-Osteolysis
Pamidronate,Hajdu-Cheney Syndrome
Pamidronate,Breast Neoplasms
Pamidronate,"Hypercalcemia, Idiopathic, Of Infancy"
Pamidronate,Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal
Pamidronate,Mismatch Repair Cancer Syndrome
Pamidronate,Myeloma Proteins
Pamidronate,Osteolysis
Pamidronate,Osteoporosis
Pantoprazole,Gastroesophageal Reflux
Pantoprazole,Helicobacter pylori
Pantoprazole,"Tremor, Nystagmus, And Duodenal Ulcer"
Papaverine,"Arrhythmias, Cardiac"
Papaverine,Pelger-Huet-Like Anomaly And Episodic Fever With Abdominal Pain
Papaverine,Raynaud Disease
Paroxetine,Camurati-Engelmann Syndrome
Paroxetine,"Motor Neuropathy, Peripheral, With Dysautonomia"
Paroxetine,Obsessive-Compulsive Disorder
Paroxetine,Panic Disorder 1; Pand1
Pemetrexed,Mismatch Repair Cancer Syndrome
Penbutolol,"Hypertension, Diastolic, Resistance To"
Penbutolol,"Renal Failure, Progressive, With Hypertension"
Pentazocine,Insensitivity To Pain With Hyperplastic Myelinopathy
Pentosan Polysulfate,Insensitivity To Pain With Hyperplastic Myelinopathy
Pentostatin,Mismatch Repair Cancer Syndrome
Pentoxifylline,CADASIL
Pentoxifylline,MELAS Syndrome
Pentoxifylline,"Stroke, Ischemic"
Pentoxifylline,Thrombosis
Pergolide,"Paralysis Agitans, Juvenile, Of Hunt"
Pergolide,Parkinson Disease
Perindopril,CADASIL
Perindopril,"Coronary Artery Disease, Autosomal Dominant, 1; Adcad1"
Perindopril,"Hypoparathyroidism, Sensorineural Deafness, And Renal Disease"
Phendimetrazine,Choroideremia
Phendimetrazine,Obesity
Phendimetrazine,Prolactin Deficiency With Obesity And Enlarged Testes
Phenobarbital,"Arthrogryposis, Renal Dysfunction, And Cholestasis 1; Arcs1"
Phenobarbital,"Convulsive Disorder, Familial, With Prenatal Or Early Onset"
Phenobarbital,Crigler-Najjar Syndrome
Phenobarbital,"Jaundice, Chronic Idiopathic"
Phenobarbital,Enterocolitis
Phenobarbital,"Epilepsy, Benign Neonatal, 1; Ebn1"
Phenobarbital,"Epilepsy, Benign Neonatal, 2; Ebn2"
Phenobarbital,"Epilepsy, Benign Neonatal, 3; Ebn3"
Phenobarbital,Gilbert Syndrome
Phenobarbital,"Hyperbilirubinemia, Hereditary"
Phenobarbital,"Jaundice, Familial Obstructive, Of Infancy"
Phenobarbital,"Tremor, Nystagmus, And Duodenal Ulcer"
Phenoxybenzamine,Pheochromocytoma
Phentermine,Choroideremia
Phentermine,Obesity
Phentermine,Prolactin Deficiency With Obesity And Enlarged Testes
Phentolamine,Bernard-Soulier Syndrome
Phentolamine,"Hypertension, Diastolic, Resistance To"
Phentolamine,May-Hegglin Anomaly; Mha
Phentolamine,Pheochromocytoma
Phentolamine,"Renal Failure, Progressive, With Hypertension"
Phentolamine,Thrombasthenia
Phenylephrine,"Glaucoma 1, Open Angle, A; Glc1A"
Phenylephrine,"Glaucoma 1, Open Angle, C; Glc1C"
Phenylephrine,"Glaucoma, Primary Open Angle; Poag"
Phenylephrine,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Phenylephrine,Insect Bites and Stings
Phenylephrine,Multiple System Atrophy
Phenylephrine,"Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux"
Phenylpropanolamine,Choroideremia
Phenylpropanolamine,Insect Bites and Stings
Phenylpropanolamine,"Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux"
Phenylpropanolamine,Obesity
Phenylpropanolamine,Prolactin Deficiency With Obesity And Enlarged Testes
Phenytoin,"Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality"
Phenytoin,"Arrhythmias, Cardiac"
Phenytoin,"Convulsive Disorder, Familial, With Prenatal Or Early Onset"
Phenytoin,"Optic Atrophy, Hearing Loss, And Peripheral Neuropathy, Autosomal"
Pilocarpine,"Renal Failure, Progressive, With Hypertension"
Pimecrolimus,"Dermatitis, Atopic"
Pimecrolimus,"Growth Retardation, Small And Puffy Hands And Feet, And Eczema"
Pindolol,"Hypertension, Diastolic, Resistance To"
Pindolol,"Renal Failure, Progressive, With Hypertension"
Pioglitazone, Diabetes Mellitus 
Pioglitazone,"Maturity-Onset Diabetes Of The Young, Type 1; Mody1"
Pioglitazone,"Maturity-Onset Diabetes Of The Young, Type 2; Mody2"
Pioglitazone,"Maturity-Onset Diabetes Of The Young, Type 3; Mody3"
Pirbuterol,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Pirbuterol,Asthma
Piroxicam,Joint Diseases
Piroxicam,Osteoarthritis Susceptibility 1; Os1
Piroxicam,Osteoarthritis Susceptibility 2; Os2
Piroxicam,Osteoarthritis Susceptibility 3; Os3
Piroxicam,"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando"
Porfimer,Esophageal Cancer
Pralidoxime,Myasthenia Gravis
Pramipexole,Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Pramipexole,"Paralysis Agitans, Juvenile, Of Hunt"
Pramipexole,Parkinson Disease
Pramipexole,Restless Legs Syndrome
Pravastatin,Hyperlipoproteinemia Type II
Pravastatin,"Stroke, Ischemic"
Praziquantel,Schistosomiasis mansoni
Prazosin,Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Prazosin,"Hypertension, Diastolic, Resistance To"
Prazosin,Insensitivity To Pain With Hyperplastic Myelinopathy
Prazosin,"Tooth, Supernumerary"
Prazosin,Prostatic Hyperplasia
Prazosin,Raynaud Disease
Prazosin,"Renal Failure, Progressive, With Hypertension"
Prednisolone,"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
Prednisolone,Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Prednisolone,Immune Suppression; Is
Prednisolone,"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
Prednisolone,Insect Bites and Stings
Prednisolone,Mismatch Repair Cancer Syndrome
Prednisolone,Multiple Sclerosis
Prednisone,"Anemia, Hemolytic, Autoimmune"
Prednisone,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Prednisone,"Ataxia, Early-Onset, With Oculomotor Apraxia And Hypoalbuminemia;"
Prednisone,Autoimmune Disease
Prednisone,Dermatosis Papulosa Nigra
Prednisone,Dohle Bodies And Leukemia
Prednisone,"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
Prednisone,Exostoses Of Heel
Prednisone,"Growth Retardation, Small And Puffy Hands And Feet, And Eczema"
Prednisone,"Hypercalcemia, Idiopathic, Of Infancy"
Prednisone,Immune Suppression; Is
Prednisone,"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
